Abarema josephi
Abelia biflora
Abelia chinensis
Abelia longituba
Abelia mosanensis
Abelia triflora
Abelia x grandiflora
Abeliophyllum distichum
Abelmoschus moschatus
Abies concolor
Abies georgei
Abies kawakamii
Abies koreana
Abies pinsapo
Abies religiosa
Abies veitchii
Abroma augusta
Abroma augustum
Abutilon darwinii
Abutilon grandifolium
Abutilon hybr.
Abutilon megapotamicum
Acacia neriifolia
Acacia auriculiformis
Acacia boormanii
Acacia cornigera
Acacia cultriformis
Acacia dealbata
Acacia erioloba
Acacia grandicornuta
Acacia haematoxylon
Acacia heterophylla
Acacia karroo
Acacia mearnsii
Acacia montis-usti
Acacia nanodealbata
Acacia paradoxa
Acacia pravissima
Acacia pycnantha
Acacia retinodes
Acacia riceana
Acacia sp.
Acacia suaveolens
Acacia swazica
Acacia verticillata
Acaena buchananii
Acaena inermis
Acaena microphylla
Acaena novae-zelandiae
Acalypha sp.
Acanthephippium mantinianum
Acanthephippium sp.
Acanthephippium striatum
Acanthephippium sylhetense
Acantholimon armenum
Acantholimon caryophyllaceum
Acantholimon glumaceum
Acantholimon kotschyi
Acantholimon ulicinum
Acanthopanax divaricatus
Acanthopanax gracilistylus
Acanthopanax henryi
Acanthopanax lasiogyne
Acanthopanax nikaianus
Acanthopanax senticosus
Acanthopanax sessiliflorus
Acanthopanax sieboldianus
Acanthopanax simoni
Acanthopanax sp.
Acanthopanax trifoliatus
Acanthophoenix rousselii
Acanthostachys pittcarnioides
Acanthostachys strobilacea
Acanthus balcanicus
Acanthus hungaricus
Acanthus mollis
Acca sellowiana
Acer albopurpurascens
Acer campbellii
Acer campestre
Acer cappadocicum
Acer carpinifolium
Acer circinatum
Acer cissifolium
Acer davidii
Acer davidii x tegmentosum
Acer divergens
Acer ginnala
Acer griseum
Acer grosseri
Acer hyrcanum
Acer japonicum
Acer laxiflorum
Acer macrophyllum
Acer mandshuricum
Acer miyabei
Acer mono
Acer monspessulanum
Acer negundo
Acer nigrum
Acer nikoense
Acer ningpoense
Acer obtusatum
Acer obtusifolium
Acer oliverianum
Acer opalus
Acer palmatum
Acer pensylvanicum
Acer pictum
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer rufinerve
Acer saccharinum
Acer saccharum
Acer semenovii
Acer sieboldianum
Acer stachyophyllum
Acer sterculiaceum
Acer tataricum
Acer truncatum
Acianthera geminicaulina
Acianthera lanceana
Acianthera prolifera
Acicarpha tribuloides
Acineta densa
Acineta erythroxantha
Acineta chrysantha
Acineta moorei
Acineta superba
Acis autumnalis
Acis nicaeensis
Acmopyle pancheri
Acmopyle sahniana
Acokanthera oblongifolia
Aconitum anthora
Aconitum austroyunnanense
Aconitum barbatum
Aconitum carmichaelii
Aconitum compactum
Aconitum episcopale
Aconitum firmum
Aconitum formosanum
Aconitum fukutomei
