taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Abarema josephi,BestMatch,9.41180,Exact,0,Abarema josephi,Abarema josephi Barneby & J.W.Grimes,Abarema josephi,8JCN,Punjuba lehmannii Britton & Rose,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Punjuba|Punjuba lehmannii,
Abelia biflora,BestMatch,9.41180,Exact,0,Abelia biflora,Abelia biflora Turcz.,Abelia biflora,8JWM,Zabelia biflora (Turcz.) Makino,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia biflora,
Abelia chinensis,BestMatch,9.41215,Exact,0,Abelia chinensis,Abelia chinensis R.Br.,Abelia chinensis,8JWR,Abelia chinensis R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Abelia|Abelia chinensis,
Abelia longituba,BestMatch,9.41180,Exact,0,Abelia longituba,Abelia longituba Rehder,Abelia longituba,63Z5P,Abelia macrotera var. engleriana (Graebn.) Landrein,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Abelia|Abelia macrotera|Abelia macrotera engleriana,
Abelia mosanensis,BestMatch,9.41180,Exact,0,Abelia mosanensis,Abelia mosanensis T.H.Chung ex Nakai,Abelia mosanensis,8JXK,Zabelia tyaihyoni (Nakai) Hisauti & H.Hara,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia tyaihyoni,
Abelia triflora,BestMatch,9.41180,Exact,0,Abelia triflora,Abelia triflora R.Br. ex Wall.,Abelia triflora,8JY3,Zabelia triflora (R.Br. ex Wall.) Makino ex Hisauti & H.Hara,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Morinoideae|Zabelia|Zabelia triflora,
Abelia x grandiflora,BestMatch,9.41145,Exact,0,Abelia x grandiflora,Abelia X grandiflora (Rovelli ex André) Rehder,Abelia × grandiflora,182382,Abelia X grandiflora (Rovelli ex André) Rehder,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Dipsacales|Linnaeaceae|Abelia|Abelia grandiflora,
Abeliophyllum distichum,BestMatch,9.41215,Exact,0,Abeliophyllum distichum,Abeliophyllum distichum Nakai,Abeliophyllum distichum,8JYL,Abeliophyllum distichum Nakai,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Forsythieae|Abeliophyllum|Abeliophyllum distichum,
Abelmoschus moschatus,BestMatch,9.41215,Exact,0,Abelmoschus moschatus,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,8K24,Abelmoschus moschatus (L.) Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Abelmoschus|Abelmoschus moschatus,
Abies concolor,BestMatch,9.41215,Exact,0,Abies concolor,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,8KBM,Abies concolor (Gordon) Lindl. ex Hildebr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Pinidae|Pinales|Pinaceae|Abies|Abies concolor,
